step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
280,0.266464,1.34487,0.0749276,0.342266,0.0103926,8.56768,0
281,0.266484,1.34832,0.0748344,0.342301,0.0103919,8.56849,0
282,0.266504,1.35168,0.0747427,0.342333,0.0103912,8.56925,0
283,0.266524,1.35492,0.0746526,0.342363,0.0103904,8.56992,0
284,0.266543,1.35813,0.0745656,0.342393,0.0103895,8.57062,0
285,0.26656,1.36095,0.0744818,0.342421,0.0103898,8.57094,0
286,0.266576,1.36328,0.0744015,0.342446,0.0103886,8.57195,0
287,0.266591,1.36549,0.0743251,0.342471,0.0103871,8.57257,0
288,0.266604,1.3677,0.0742537,0.342498,0.0103863,8.57325,0
289,0.266617,1.36993,0.0741878,0.342526,0.0103853,8.57397,0
290,0.266628,1.37226,0.074128,0.342554,0.0103837,8.57119,0
291,0.266639,1.37472,0.0740743,0.342588,0.0103825,8.57563,0
292,0.266648,1.37727,0.074027,0.342623,0.0103818,8.57666,0
293,0.266655,1.3798,0.0739869,0.342657,0.0103809,8.57706,0
294,0.266662,1.38222,0.0739537,0.342688,0.010381,8.578,0
295,0.266666,1.38429,0.0739273,0.342717,0.0103819,8.57874,0
296,0.26667,1.38589,0.0739075,0.342738,0.0103825,8.57922,0
297,0.266671,1.38687,0.0738939,0.342753,0.0103831,8.5794,0
298,0.266671,1.38728,0.0738865,0.34276,0.0103836,8.57942,0
299,0.266669,1.38709,0.0738854,0.34276,0.010384,8.57924,0
300,0.266666,1.38652,0.0738904,0.342751,0.0103844,8.5788,0
301,0.266663,1.38556,0.0739008,0.342733,0.0103845,8.57815,0
302,0.26666,1.38439,0.0739171,0.342705,0.0103848,8.57754,0
303,0.266656,1.38283,0.0739383,0.342671,0.010385,8.57608,0
304,0.266652,1.3811,0.0739642,0.342628,0.0103852,8.57512,0
305,0.266648,1.37902,0.0739941,0.342582,0.0103851,8.57403,0
306,0.266642,1.37683,0.0740272,0.342533,0.0103844,8.57309,0
307,0.266637,1.37463,0.0740641,0.342488,0.0103837,8.57153,0
308,0.26663,1.37254,0.074104,0.342447,0.0103829,8.57052,0
309,0.266622,1.37031,0.0741472,0.342409,0.0103824,8.56979,0
310,0.266614,1.36815,0.074193,0.342375,0.0103821,8.56913,0
311,0.266605,1.3664,0.0742416,0.34235,0.010381,8.56867,0
312,0.266597,1.36507,0.0742926,0.342329,0.0103802,8.56823,0
313,0.266588,1.36401,0.0743455,0.342315,0.0103803,8.56793,0
314,0.266579,1.36294,0.0743997,0.342304,0.0103808,8.5677,0
315,0.266569,1.36185,0.0744548,0.342295,0.0103816,8.56743,0
316,0.266558,1.36048,0.0745099,0.342282,0.0103826,8.56704,0
317,0.266547,1.35893,0.0745653,0.342268,0.0103838,8.56664,0
318,0.266535,1.35691,0.0746199,0.342252,0.0103849,8.56616,0
319,0.266523,1.3547,0.0746739,0.342232,0.0103857,8.56562,0
320,0.266511,1.35226,0.0747261,0.342211,0.0103866,8.56488,0
321,0.266499,1.34954,0.0747773,0.342186,0.010387,8.56415,0
322,0.266488,1.347,0.0748268,0.342161,0.0103875,8.56342,0
323,0.266478,1.34459,0.0748745,0.342135,0.0103877,8.56277,0
324,0.266469,1.34232,0.0749202,0.342109,0.0103877,8.56208,0
325,0.266461,1.34053,0.0749641,0.342086,0.0103871,8.56156,0
326,0.266455,1.3392,0.0750054,0.342065,0.0103868,8.56174,0
327,0.266449,1.33785,0.0750435,0.342044,0.0103875,8.56094,0
328,0.266444,1.33657,0.075078,0.342024,0.010388,8.56052,0
329,0.26644,1.33523,0.0751086,0.342005,0.0103883,8.56005,0
330,0.266436,1.33398,0.0751351,0.341989,0.0103886,8.55962,0
331,0.266432,1.33271,0.0751571,0.341977,0.0103888,8.55916,0
332,0.266429,1.33148,0.0751748,0.341965,0.0103893,8.55909,0
333,0.266426,1.33023,0.0751871,0.341954,0.0103895,8.55893,0
334,0.266424,1.32922,0.075195,0.341948,0.0103891,8.55869,0
335,0.266423,1.32856,0.0751987,0.341946,0.0103887,8.55859,0
336,0.266422,1.32829,0.0751987,0.341946,0.0103883,8.55675,0
337,0.266423,1.32839,0.0751952,0.341951,0.0103882,8.5587,0
338,0.266425,1.32867,0.0751878,0.341959,0.0103883,8.55947,0
339,0.266427,1.32913,0.0751769,0.341967,0.0103884,8.55959,0
340,0.26643,1.3298,0.0751623,0.341979,0.0103885,8.55998,0
341,0.266433,1.33058,0.0751442,0.341994,0.0103884,8.56032,0
342,0.266436,1.33149,0.0751234,0.342011,0.0103882,8.56085,0
343,0.266438,1.33258,0.0751003,0.342034,0.010388,8.56149,0
344,0.266441,1.33372,0.0750747,0.342057,0.0103878,8.56216,0
345,0.266445,1.33511,0.0750476,0.342083,0.0103878,8.56278,0
346,0.266448,1.33653,0.0750189,0.342108,0.010388,8.56341,0
347,0.266452,1.33804,0.0749886,0.342135,0.0103881,8.56398,0
348,0.266456,1.33951,0.0749569,0.342162,0.0103883,8.56453,0
349,0.26646,1.34097,0.0749245,0.342185,0.0103886,8.56528,0
350,0.266465,1.34229,0.0748916,0.342205,0.0103887,8.56578,0
351,0.26647,1.34367,0.0748586,0.342226,0.0103888,8.56622,0
352,0.266476,1.34522,0.0748257,0.342243,0.0103889,8.56658,0
353,0.266483,1.34677,0.0747923,0.342258,0.0103891,8.56681,0
354,0.266489,1.34803,0.0747595,0.342267,0.0103893,8.56699,0
355,0.266497,1.34926,0.0747271,0.342271,0.0103893,8.56703,0
356,0.266504,1.35043,0.0746954,0.342273,0.010389,8.56706,0
357,0.266511,1.35159,0.0746652,0.342274,0.0103883,8.56706,0
358,0.266519,1.35284,0.0746367,0.342274,0.010388,8.5672,0
359,0.266526,1.35394,0.0746092,0.342274,0.0103877,8.56719,0
360,0.266533,1.35498,0.0745832,0.342273,0.0103874,8.56711,0
361,0.26654,1.35598,0.074559,0.342272,0.0103872,8.56706,0
362,0.266546,1.35684,0.0745362,0.34227,0.0103869,8.567,0
363,0.266552,1.35763,0.074515,0.342269,0.0103867,8.56698,0
364,0.266557,1.35824,0.0744958,0.342271,0.0103863,8.56705,0
365,0.266561,1.35908,0.0744791,0.342276,0.0103853,8.56676,0
366,0.266564,1.35999,0.074465,0.342284,0.0103846,8.56779,0
367,0.266567,1.36088,0.074453,0.342292,0.0103847,8.56803,0
368,0.266569,1.36143,0.0744434,0.342299,0.0103847,8.56822,0
369,0.26657,1.36199,0.0744361,0.342308,0.0103846,8.56841,0
370,0.266571,1.36253,0.074431,0.342315,0.0103846,8.56864,0
371,0.266571,1.3629,0.0744282,0.34232,0.0103849,8.56874,0
372,0.266571,1.363,0.0744276,0.342322,0.0103854,8.56783,0
373,0.26657,1.36299,0.0744289,0.342322,0.0103856,8.56775,0
374,0.266569,1.36288,0.0744324,0.342319,0.0103858,8.56775,0
375,0.266569,1.36252,0.0744374,0.342311,0.0103862,8.56833,0
376,0.266568,1.36209,0.0744436,0.342297,0.0103865,8.56725,0
377,0.266568,1.36152,0.0744513,0.342282,0.0103866,8.56745,0
378,0.266568,1.36075,0.0744604,0.342265,0.0103866,8.56639,0
379,0.266567,1.35999,0.0744708,0.342249,0.0103862,8.5655,0
380,0.266566,1.35947,0.0744834,0.342235,0.0103854,8.56541,0
