attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,227,4.54,enter,0.04609,0.04609,0.03,-36.46,0.31,0.3186,0,0.0,0.0
0,228,4.56,enter,0.04636,0.04636,0.03,-36.2,0.4,0.3184,0,0.0,0.0
0,229,4.58,enter,0.04653,0.04653,0.03,-35.93,0.5,0.3183,0,0.0,0.0
0,230,4.6,enter,0.04675,0.04675,0.03,-35.67,0.6,0.3181,0,0.0,0.0
0,231,4.62,enter,0.04711,0.04711,0.03,-35.4,0.69,0.3179,0,0.0,0.0
0,232,4.64,enter,0.04747,0.04747,0.03,-35.12,0.79,0.3178,0,0.0,0.0
0,233,4.66,enter,0.04783,0.04783,0.03,-34.88,0.88,0.3176,0,0.0,0.0
0,234,4.68,enter,0.04817,0.04817,0.03,-34.66,0.98,0.3175,0,0.0,0.0
0,235,4.7,enter,0.0485,0.0485,0.03,-34.46,1.06,0.3174,0,0.0,0.0
0,236,4.72,enter,0.04963,0.04963,0.03,-34.29,1.11,0.3173,0,0.0,0.0
0,237,4.74,enter,0.05117,0.05117,0.03,-34.03,1.09,0.3172,0,0.0,0.0
0,238,4.76,enter,0.0494,0.0494,0.03,-33.58,1.16,0.3171,0,0.0,0.0
0,239,4.78,enter,0.04933,0.04933,0.03,-32.99,1.16,0.317,0,0.0,0.0
0,240,4.8,enter,0.04822,0.04822,0.03,-32.4,1.24,0.3169,0,0.0,0.0
0,241,4.82,enter,0.04807,0.04807,0.03,-31.86,1.28,0.3168,0,0.0,0.0
0,242,4.84,enter,0.04759,0.04759,0.03,-31.35,1.34,0.3168,0,0.0,0.0
0,243,4.86,enter,0.04793,0.04793,0.03,-30.87,1.36,0.3168,0,0.0,0.0
0,244,4.88,enter,0.04929,0.04929,0.03,-30.44,1.36,0.3167,0,0.0,0.0
0,245,4.9,enter,0.05073,0.05073,0.03,-30.03,1.18,0.3167,0,0.0,0.0
0,246,4.92,enter,0.05035,0.05035,0.03,-29.63,1.09,0.3168,0,0.0,0.0
0,247,4.94,enter,0.04874,0.04874,0.03,-29.27,1.0,0.3168,0,0.0,0.0
0,248,4.96,enter,0.04769,0.04769,0.03,-29.0,0.86,0.3168,0,0.0,0.0
0,249,4.98,enter,0.04701,0.04701,0.03,-28.81,0.69,0.3169,0,0.0,0.0
0,250,5.0,enter,0.04631,0.04631,0.03,-28.63,0.54,0.317,0,0.0,0.0
0,251,5.02,enter,0.04544,0.04544,0.03,-28.45,0.41,0.3171,0,0.0,0.0
0,252,5.04,enter,0.04444,0.04444,0.03,-28.32,0.27,0.3171,0,0.0,0.0
0,253,5.06,enter,0.0434,0.0434,0.03,-28.23,0.14,0.3172,0,0.0,0.0
0,254,5.08,enter,0.04234,0.04234,0.03,-28.17,0.01,0.3174,0,0.0,0.0
0,255,5.1,enter,0.04082,0.04082,0.03,-28.16,0.26,0.3174,0,0.0009,1.93
0,256,5.12,enter,0.04124,0.04124,0.03,-27.97,0.43,0.3175,0,0.0018,3.87
0,257,5.14,enter,0.0408,0.0408,0.03,-27.8,0.55,0.3176,0,0.0022,4.66
0,258,5.16,enter,0.03937,0.03937,0.03,-27.62,0.65,0.3176,0,0.003,6.24
0,259,5.18,enter,0.03896,0.03896,0.03,-27.5,0.81,0.3177,0,0.0036,7.47
0,260,5.2,enter,0.03822,0.03822,0.03,-27.39,0.95,0.3177,0,0.0042,8.8
0,261,5.22,enter,0.03791,0.03791,0.03,-27.28,1.11,0.3177,0,0.0048,10.01
0,262,5.24,enter,0.03714,0.03714,0.03,-27.12,1.22,0.3177,0,0.0051,10.77
0,263,5.26,enter,0.03698,0.03698,0.03,-26.97,1.39,0.3177,0,0.0056,11.85
0,264,5.28,enter,0.0363,0.0363,0.03,-26.85,1.56,0.3177,0,0.0061,12.74
0,265,5.3,enter,0.03617,0.03617,0.03,-26.69,1.75,0.3176,0,0.0067,14.02
0,266,5.32,enter,0.03562,0.03562,0.03,-26.51,1.92,0.3175,0,0.007,14.69
0,267,5.34,enter,0.035,0.035,0.03,-26.31,2.07,0.3174,0,0.0071,14.98
0,268,5.36,enter,0.03458,0.03458,0.03,-26.14,2.25,0.3173,0,0.0077,16.19
0,269,5.38,enter,0.03437,0.03437,0.03,-25.98,2.45,0.3171,0,0.0081,17.11
0,270,5.4,enter,0.034,0.034,0.03,-25.8,2.65,0.317,0,0.0083,17.58
0,271,5.42,enter,0.03361,0.03361,0.03,-25.6,2.84,0.3168,0,0.0083,17.62
0,272,5.44,enter,0.0332,0.0332,0.03,-25.4,3.0,0.3166,0,0.0083,17.68
0,273,5.46,enter,0.0336,0.0336,0.03,-25.22,3.23,0.3164,0,0.0088,18.58
