step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
74,1789608549.151,-0.41276,0.500002,-0.08217861,-0.01832913,-0.003115408,0,0,-0.001536604,1.865945,0.5226798,-0.01599155,0,0,0,0,1,6.45344,0.0005766504,-0.008206571,0.002247892,0.02932863,0.4942546,0.03875971,92215,0.3478899,500,22.62134
75,1789608549.700,-0.4148225,0.500002,-0.08418384,-0.01810735,-0.003080352,0,0,-0.001495071,1.862417,0.5160517,-0.01668093,0,0,0,0,1,6.348224,0.0005766504,-0.009255806,0.002061151,0.03444816,0.506027,0.03933716,90126,0.3459125,500,23.12409
76,1789608550.247,-0.4050844,0.500002,-0.07936078,-0.02069617,-0.003137066,0,0,-0.001488863,1.866345,0.5280301,-0.01582625,0,0,0,0,1,6.226653,0.0008649756,-0.005755794,0.002157403,0.03420731,0.5036156,0.03879499,90617,0.3435261,500,23.46588
77,1789608550.799,-0.4053316,0.500002,-0.08365531,-0.01744082,-0.00310236,0,0,-0.001471565,1.870615,0.5336806,-0.01649031,0,0,0,0,1,6.134472,0.0005766504,-0.004421418,0.002037893,0.0350059,0.5086772,0.03932762,89692,0.3420246,500,23.6159
78,1789608551.344,-0.4000766,0.500002,-0.08266283,-0.01754521,-0.003076352,0,0,-0.001475492,1.869209,0.5302448,-0.01624941,0,0,0,0,1,6.031617,0.0005766504,-0.007309295,0.002047435,0.02940681,0.5017045,0.03895307,90911,0.3400869,500,23.67624
79,1789608551.888,-0.3957133,0.500002,-0.082085,-0.02144362,-0.003105498,0,0,-0.001421145,1.873043,0.5448416,-0.0153075,0,0,0,0,1,5.919334,0.0005766504,-0.008749698,0.002197856,0.02646261,0.5007248,0.03909326,91052,0.337863,500,23.80515
80,1789608552.435,-0.3867967,0.500002,-0.07805532,-0.02057721,-0.003130779,0,0,-0.001455646,1.874592,0.5439687,-0.01536033,0,0,0,0,1,5.782948,0.0008649756,-0.005966798,0.002045478,0.02947268,0.5034583,0.03996682,90448,0.3353265,500,23.91231
81,1789608552.981,-0.3881376,0.500002,-0.08133185,-0.01726386,-0.003040187,0,0,-0.001414394,1.876812,0.5467826,-0.01499414,0,0,0,0,1,5.678664,0.0005766504,-0.004945383,0.00188005,0.0300864,0.5032063,0.03851485,90733,0.333809,500,24.01856
82,1789608553.504,-0.3868684,0.500002,-0.08223351,-0.01769301,-0.003289859,0,0,-0.001398713,1.87157,0.5412147,-0.01527138,0,0,0,0,1,5.585418,0.0005766504,-0.008030795,0.002141799,0.03156475,0.479681,0.03893781,94774,0.3319021,500,24.05264
83,1789608554.013,-0.3772281,0.500002,-0.07720862,-0.0176465,-0.003154917,0,-2.220848e-05,-0.001412631,1.879534,0.5583829,-0.01545838,0,0,0,0,1,5.510757,0.0002562891,-0.003610609,0.003019856,0.02692896,0.4668348,0.03897858,97174,0.3310959,500,24.33461
