step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
281,0.04003,0.02211,0.00130,0.01662,0.28673,0.0000,0.0000,0.5088
282,0.04002,0.01902,0.00247,0.01854,0.28462,0.0000,0.0000,0.5233
283,0.04170,0.01677,0.00514,0.01980,0.28188,0.0000,0.0000,0.5998
284,0.04249,0.01462,0.00720,0.02067,0.27906,0.0000,0.0000,0.7036
285,0.03911,0.01420,0.00467,0.02023,0.27723,0.0000,0.0000,0.7183
286,0.03497,0.01283,0.00188,0.02027,0.27701,0.0000,0.0000,0.7898
287,0.03325,0.01198,0.00169,0.01958,0.27840,0.0000,0.0000,0.8448
288,0.03534,0.01105,0.00470,0.01958,0.28114,0.0000,0.0000,0.8378
289,0.04151,0.01011,0.01072,0.02069,0.28355,0.0000,0.0000,0.7284
290,0.04704,0.01174,0.01389,0.02141,0.28518,0.0000,0.0000,0.6892
291,0.04787,0.01214,0.01267,0.02306,0.28615,0.0000,0.0000,0.7028
292,0.04538,0.01223,0.00863,0.02452,0.28676,0.0000,0.0000,0.7197
293,0.04681,0.01556,0.00612,0.02512,0.28712,0.0000,0.0000,0.7663
294,0.05159,0.02154,0.00427,0.02577,0.28725,0.0000,0.0000,0.8266
295,0.05554,0.02733,0.00357,0.02464,0.28719,0.0000,0.0000,0.9120
296,0.05529,0.02710,0.00370,0.02448,0.28690,0.0000,0.0000,0.9991
297,0.05359,0.02427,0.00569,0.02363,0.28629,0.0000,0.0000,1.0244
298,0.05097,0.02165,0.00788,0.02144,0.28525,0.0000,0.0000,1.0361
299,0.04646,0.01874,0.00907,0.01866,0.28370,0.0000,0.0000,1.0337
300,0.03792,0.01269,0.00730,0.01792,0.28192,0.0000,0.0000,0.9799
301,0.03291,0.00855,0.00728,0.01708,0.28036,0.0000,0.0000,0.8827
302,0.03073,0.00548,0.00971,0.01555,0.27992,0.0000,0.0000,0.8110
303,0.02755,0.00035,0.01178,0.01542,0.28052,0.0000,0.0000,0.7909
304,0.02820,0.00163,0.01245,0.01411,0.28230,0.0000,0.0000,0.7638
305,0.02721,0.00042,0.01341,0.01338,0.28380,0.0000,0.0000,0.6892
306,0.03267,0.00227,0.01706,0.01334,0.28451,0.0000,0.0000,0.6930
307,0.03837,0.00371,0.02068,0.01398,0.28456,0.0000,0.0000,0.7128
308,0.03965,0.00642,0.01911,0.01411,0.28426,0.0000,0.0000,0.6611
309,0.03827,0.01088,0.01353,0.01386,0.28384,0.0000,0.0000,0.6204
310,0.03752,0.01604,0.00769,0.01379,0.28334,0.0000,0.0000,0.6101
311,0.03768,0.01999,0.00391,0.01378,0.28275,0.0000,0.0000,0.6068
312,0.03790,0.02142,0.00239,0.01409,0.28198,0.0000,0.0000,0.6690
313,0.04061,0.02056,0.00447,0.01557,0.28080,0.0000,0.0000,0.7172
314,0.03242,0.01204,0.00847,0.01191,0.27903,0.0000,0.0000,0.7562
315,0.02244,0.00496,0.00999,0.00749,0.27669,0.0000,0.0000,0.8145
