attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
1,44,0.88,settle,0.24744,0.22753,-0.09723,0.24744,0.027,-34.88,4.73,0.3349,0,0.0,0.0
2,44,0.88,settle,0.24743,0.22753,-0.09722,0.24743,0.027,-34.88,4.73,0.3349,0,0.0,0.0
3,44,0.88,settle,0.24746,0.22755,-0.09725,0.24746,0.027,-34.89,4.73,0.3349,0,0.0,0.0
0,45,0.9,settle,0.25293,0.23246,-0.09968,0.25293,0.0276,-35.69,4.63,0.3351,0,0.0,0.0
1,45,0.9,settle,0.25299,0.23253,-0.09967,0.25299,0.0276,-35.7,4.62,0.3351,0,0.0,0.0
2,45,0.9,settle,0.25298,0.23252,-0.09966,0.25298,0.0276,-35.7,4.62,0.3351,0,0.0,0.0
3,45,0.9,settle,0.25302,0.23255,-0.09969,0.25302,0.0276,-35.71,4.62,0.3351,0,0.0,0.0
0,46,0.92,settle,0.2592,0.23825,-0.10209,0.2592,0.0282,-36.67,4.4,0.3351,0,0.0,0.0
1,46,0.92,settle,0.25929,0.23835,-0.10209,0.25929,0.0282,-36.69,4.39,0.3351,0,0.0,0.0
2,46,0.92,settle,0.25929,0.23835,-0.10208,0.25929,0.0282,-36.69,4.39,0.3352,0,0.0,0.0
3,46,0.92,settle,0.25932,0.23837,-0.10212,0.25932,0.0282,-36.7,4.39,0.3352,0,0.0,0.0
0,47,0.94,settle,0.26644,0.2451,-0.1045,0.26644,0.0288,-37.82,4.17,0.3352,0,0.0,0.0
1,47,0.94,settle,0.26653,0.24519,-0.1045,0.26653,0.0288,-37.84,4.16,0.3352,0,0.0,0.0
2,47,0.94,settle,0.26653,0.2452,-0.10449,0.26653,0.0288,-37.84,4.17,0.3352,0,0.0,0.0
3,47,0.94,settle,0.26656,0.24521,-0.10453,0.26656,0.0288,-37.85,4.17,0.3352,0,0.0,0.0
0,48,0.96,settle,0.27148,0.2504,-0.10488,0.27148,0.0294,-39.06,4.09,0.3352,0,0.0,0.0
1,48,0.96,settle,0.2716,0.25052,-0.1049,0.2716,0.0294,-39.08,4.08,0.3352,0,0.0,0.0
2,48,0.96,settle,0.27159,0.25051,-0.10489,0.27159,0.0294,-39.08,4.09,0.3352,0,0.0,0.0
3,48,0.96,settle,0.2716,0.25051,-0.10492,0.2716,0.0294,-39.09,4.08,0.3352,0,0.0,0.0
0,49,0.98,stand,0.27205,0.25184,-0.1029,0.27205,0.03,-39.46,4.15,0.3351,0,0.0,0.0
1,49,0.98,stand,0.27218,0.25202,-0.10282,0.27218,0.03,-39.49,4.15,0.3351,0,0.0,0.0
2,49,0.98,stand,0.27217,0.25179,-0.10333,0.27217,0.03,-39.49,4.15,0.3351,0,0.0,0.0
3,49,0.98,stand,0.27219,0.25186,-0.10321,0.27219,0.03,-39.49,4.15,0.3351,0,0.0,0.0
0,50,1.0,stand,0.26949,0.24938,-0.10215,0.26949,0.03,-38.96,4.43,0.3348,0,0.0,0.0
1,50,1.0,stand,0.26961,0.24985,-0.1013,0.26961,0.03,-38.97,4.25,0.3349,0,0.0,0.0
2,50,1.0,stand,0.26959,0.24954,-0.10202,0.26959,0.03,-38.97,4.34,0.3349,0,0.0,0.0
3,50,1.0,stand,0.26962,0.24944,-0.10234,0.26962,0.03,-38.99,4.41,0.3349,0,0.0,0.0
0,51,1.02,stand,0.26303,0.24287,-0.10099,0.26303,0.03,-37.67,4.73,0.3344,0,0.0,0.0
1,51,1.02,stand,0.26306,0.24346,-0.09962,0.26306,0.03,-37.65,4.48,0.3344,0,0.0,0.0
2,51,1.02,stand,0.26304,0.24309,-0.10047,0.26304,0.03,-37.65,4.59,0.3345,0,0.0,0.0
3,51,1.02,stand,0.26311,0.24292,-0.10108,0.26311,0.03,-37.69,4.71,0.3345,0,0.0,0.0
0,52,1.04,stand,0.25521,0.23503,-0.09947,0.25521,0.03,-36.11,5.0,0.334,0,0.0,0.0
1,52,1.04,stand,0.25507,0.23564,-0.09764,0.25507,0.03,-36.05,4.68,0.334,0,0.0,0.0
2,52,1.04,stand,0.25506,0.23525,-0.09857,0.25506,0.03,-36.06,4.8,0.334,0,0.0,0.0
3,52,1.04,stand,0.25521,0.23503,-0.09946,0.25521,0.03,-36.11,4.96,0.334,0,0.0,0.0
0,53,1.06,stand,0.24703,0.22672,-0.0981,0.24703,0.03,-34.47,5.24,0.3335,0,0.0,0.0
1,53,1.06,stand,0.24675,0.22735,-0.09593,0.24675,0.03,-34.36,4.86,0.3335,0,0.0,0.0
2,53,1.06,stand,0.24676,0.22692,-0.09693,0.24676,0.03,-34.38,4.99,0.3335,0,0.0,0.0
3,53,1.06,stand,0.24699,0.2267,-0.09803,0.24699,0.03,-34.46,5.19,0.3335,0,0.0,0.0
0,54,1.08,stand,0.23904,0.21842,-0.09713,0.23904,0.03,-32.82,5.41,0.3329,0,0.0,0.0
1,54,1.08,stand,0.23861,0.21904,-0.09463,0.23861,0.03,-32.68,5.02,0.3329,0,0.0,0.0
2,54,1.08,stand,0.23863,0.2186,-0.09571,0.23863,0.03,-32.71,5.17,0.3329,0,0.0,0.0
3,54,1.08,stand,0.23895,0.21838,-0.09699,0.23895,0.03,-32.8,5.35,0.3329,0,0.0,0.0
